city,city link,subcity,subcity link,restaurant code,restaurant,rating,rating count,cost,address,cuisine,licension no,restaurant link,menu,item,price,veg_or_non_veg
Indore,https://www.swiggy.com/city/indore,Bhawar Kuan,https://www.swiggy.com/city/indore/bhawar kuan-restaurants,70979,FOI- Manik bagh,3.6,100+ ratings,₹ 200,"FOI- Manik bagh, 2-A, Palsikar Colony, Golden Avenue Building, Manik Bagh Road, Indore","Chinese,Beverages",21415850001716,https://www.swiggy.com/restaurants/foi-manik-bagh-manikbagh-indore-70979,Beverages,Mango Mojito,141.0,Veg
Bhopal,https://www.swiggy.com/city/bhopal,,,118866,KFC,3.7,100+ ratings,₹ 400,"KFC, 3rd DB City Mall 1509 & 1511, Sanjay Nagar, Arera Hills, Bhopal, Madhya Pradesh 462011","American,Snacks",11419010000323,https://www.swiggy.com/restaurants/kfc-3rd-db-city-mall-maharana-pratap-nagar-bhopal-118866,Stay Home Specials,6pc Hot & Crispy with Dynamite Sauce,779.05,Non-veg
Bikaner,https://www.swiggy.com/city/bikaner,,,331454,ANNA DOSA POINT,--,Too Few Ratings,₹ 200,"ANNA DOSA POINT, Shop no. 7, near Sector 14 Main Market, Gurgaon, Sector 14 , Allawardi(56), Gurgaon, Gurgaon, Haryana, 122001","South Indian,Fast Food",license,https://www.swiggy.com/restaurants/anna-dosa-point-sector-14-gurgaon-331454,Dosas,Rava Masala Dosa,289.0,Veg
Hyderabad,https://www.swiggy.com/city/hyderabad,Kothapet & Dilsukhnagar,https://www.swiggy.com/city/hyderabad/kothapet-restaurants,240789,Mehfil,3.7,10K+ ratings,₹ 300,"Mehfil, 16-11-739/2,3,4,5,6,7,8,9,Ground floor,first floor,second floor,Dilsuknagar","Biryani,Chinese",license,https://www.swiggy.com/restaurants/mehfil-kothapet-and-dilsukhnagar-gaddiannaram-hyderabad-240789,Grilled Sandwiches,Corn Cheese Sandwich,40.0,Veg
Kochi,https://www.swiggy.com/city/kochi,Fort Kochi,https://www.swiggy.com/city/kochi/fort-kochi-restaurants,106540,Melty Way,--,Too Few Ratings,₹ 200,"Melty Way, Near Tirumala Devoswam Higher Secondary School, Mattancherry, Kochi","Fast Food,Italian",21317185000315,https://www.swiggy.com/restaurants/melty-way-mattancherry-kochi-106540,Appetizers,Nuggets,75.0,Veg
Chennai,https://www.swiggy.com/city/chennai,Urapakkam,https://www.swiggy.com/city/chennai/urapakkam-restaurants,517348,Amudhu Karuppatti Coffee,--,Too Few Ratings,₹ 90,"Amudhu Karuppatti Coffee, S.No.35/1B, 35/1B, 35/2, FOOD WORLD, MADAMBAKKAM MAIN ROAD, MADAMBAKKAM, Nandivaram Guduvancheri, Chengalpattu, Tamil Nadu, 603202",Bakery,12422008000512,https://www.swiggy.com/restaurants/amudhu-karuppatti-coffee-urapakkam-chennai-517348,Fruit Tea,Watermelon Tea,15.0,Veg
Allahabad,https://www.swiggy.com/city/allahabad,,,80325,Hotel Milan Palace,--,Too Few Ratings,₹ 350,"Hotel Milan Palace, Govind Tower, 4/2, Strach Road, Civil Lines, Allahabad","North Indian,South Indian",12715005000327,https://www.swiggy.com/restaurants/hotel-milan-palace-civil-lines-allahabad-80325,Lunch And Dinner,Hara Bhara Salad,76.19,Veg
Pune,https://www.swiggy.com/city/pune,Shivaji Nagar,https://www.swiggy.com/city/pune/shivaji-nagar-restaurants,351163,V Cafe - Meals By PVR,3.6,50+ ratings,₹ 400,"V Cafe - Meals By PVR, PVR LIMITED/PVR ICON MULTIPLEX cafe counter 1 & 2,the Pavillion mall, 3rd floor final plot no 403/A/1 CTS no.985 Senapati bapat marg, shivaji nagar pune -411016","Pizzas,Snacks",11517034001389,https://www.swiggy.com/restaurants/v-cafe-meals-by-pvr-shivaji-nagar-pune-351163,Pan Pizzas (8'),Margherita Pizza 8 Inches,239.0,Veg
Delhi,https://www.swiggy.com/city/delhi,Uttam Nagar,https://www.swiggy.com/city/delhi/uttam-nagar-restaurants,30870,Baba food point,--,Too Few Ratings,₹ 300,"Baba food point, A1/15A Mohan Garden, New Metro Pl.No.756, Uttam Nagar, New Delhi","Indian,Chinese",license,https://www.swiggy.com/restaurants/baba-food-point-mohan-garden-uttam-nagar-delhi-30870,Starters,Soya Chaap (8 Pcs) (KFC),140.0,Veg
Delhi,https://www.swiggy.com/city/delhi,Rajouri Garden,https://www.swiggy.com/city/delhi/rajouri-garden-restaurants,505073,PUNJABI CULTURE,--,Too Few Ratings,₹ 200,"PUNJABI CULTURE, SHOP NO-865, G/F, FORTH STOREY RAGHUBIR NAGAR, New Delhi, Delhi 110027, India","Snacks,North Indian",license,https://www.swiggy.com/restaurants/punjabi-culture-rajouri-garden-delhi-505073,Rolls,Chicken Kabab Roll [Full],195.0,Non-veg
